Language,Original Purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Other Paradigms
1C:Enterprise programming language,Application RAD business general web mobile,Yes,No,Yes,Yes,Yes,Yes,Object-based Prototype-based programming
ActionScript,Application client-side web,Yes,Yes,Yes,Yes,No,No,prototype-based
Ada,Application embedded realtime system,Yes,Yes[2],No,Yes[3],Yes[4],No,Concurrent[5] distributed[6]
Aldor,Highly domain-specific symbolic computing,Yes,Yes,Yes,No,No,No,
ALGOL 58,Application,Yes,No,No,No,No,No,
ALGOL 60,Application,Yes,No,No,Yes,Yes,No,
ALGOL 68,Application,Yes,No,Yes,Yes,Yes,No,Concurrent
Ateji PX,Parallel application,No,Yes,No,No,No,No,pi calculus
APL,Application data processing,Yes,Yes,Yes,Yes,Yes,Yes,Array-oriented tacit
Assembly language,General,Yes,No,No,No,No,No,Any syntax is usually highly specific related to the target processor
AutoHotkey,GUI automation (macros) highly domain-specific,Yes,Yes[11],No,Yes,No,No,
AutoIt,GUI automation (macros) highly domain-specific,Yes,No,No,Yes,No,No,
Ballerina,Integration agile server-side general,Yes,Yes,Yes,Yes,No,No,Concurrent transactional statically and strongly typed diagrammatic–visual
Bash,Shell scripting,Yes,No,No,Yes,No,No,
BASIC,Application education,Yes,No,No,Yes,No,No,
BeanShell,Application scripting,Yes,Yes,Yes,No,No,Yes,
BLISS,System,No,No,No,Yes,No,No,
BlitzMax,Application game,Yes,Yes,No,Yes,No,Yes,
Boo,Application game scripting,No,Yes,No,No,No,No,
C,Application system[15] general purpose low-level operations,Yes,No,No,Yes,No,No,
C++,Application system,Yes,Yes,Yes,Yes,Yes,Yes,Concurrent
C#,Application RAD business client-side general server-side web game programming,Yes,Yes,Yes[18],Yes,Yes,Yes,Concurrent structured
Clarion,General business web,Yes,Yes,Yes[20],No,No,No,
Clean,General,No,No,Yes,No,Yes,No,
Clojure,General,No,No,Yes,No,No,No,Concurrent
CLU,General,Yes,Yes,No,Yes,Yes,No,
COBOL,Application business,Yes,Yes,No,Yes,No,No,
Cobra,Application business general web,Yes,Yes,Yes,No,Yes,Yes,
ColdFusion (CFML),Web,No,Yes,No,Yes,No,No,
Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,Extensible syntax Array-oriented syntactic macros multiple dispatch concurrent
COMAL 80,Education,Yes,No,No,Yes,No,No,
Crystal,General purpose,Yes,Yes[21],Yes,Yes,Yes[22],No,Concurrent[23]
Curry,Application,No,No,Yes,No,Yes,No,lazy evaluation non-determinism
Cython,Application general numerical computing,Yes,Yes,Yes,No,No,Yes,Aspect-oriented
D,Application system,Yes,Yes,Yes,Yes,Yes,Yes,Generative concurrent
Dart,Application web server-side mobile IoT,Yes,Yes,Yes,Yes,Yes,No,Structured
Delphi Object Pascal,General purpose,Yes,Yes,Yes,Yes,Yes,Yes,
Dylan,Application,No,Yes,Yes,No,No,No,
Eiffel,General application business client-side server-side web (EWF),Yes,Yes,Yes[24][25],No,Yes,Yes Erl-G,Distributed SCOOP Void-safe
ELAN,Education,Yes,No,No,Yes,No,No,Structured stepwise refinement
Elixir,Application distributed,No,No,Yes,No,No,Yes,Concurrent distributed
